timestamp,difficulty,pos_x,pos_y,pos_z,angle_yaw,angle_pitch,angle_roll
1678951965503,3,-25.935,-25.535,0.404,0.04,15.92,354.76
1678951965600,3,-27.153,-25.825,0.613,357.52,15.50,358.12
1678951965698,3,-28.170,-26.211,0.672,355.67,15.41,1.43
1678951968865,3,-26.067,-26.553,3.340,5.75,359.32,356.37
1678951968977,3,-26.008,-26.531,3.234,5.72,359.93,356.18
1678951969074,3,-26.008,-26.541,3.026,5.24,1.50,355.97
1678951969171,3,-26.086,-26.499,2.866,4.60,1.79,355.61
1678951969269,3,-26.151,-26.360,2.756,4.30,2.48,355.48
1678951969366,3,-26.269,-26.162,2.471,4.06,4.10,355.72
1678951969478,3,-26.430,-25.937,2.124,3.18,5.62,356.23
1678951975434,3,-26.819,-25.734,2.484,0.95,3.57,358.76
1678951975532,3,-26.864,-25.719,2.369,0.75,4.12,358.84
1678951975629,3,-26.922,-25.705,2.319,0.46,4.53,359.02
1678951975727,3,-27.067,-25.705,2.034,359.36,5.93,358.88
1678951975824,3,-27.258,-25.680,1.889,358.19,6.42,358.53
1678951975921,3,-27.883,-25.623,2.285,355.21,4.81,357.41
1678951976032,3,-28.777,-25.799,2.689,349.73,2.31,354.62
1678951976130,3,-28.949,-25.753,2.390,349.54,3.99,354.58
1678951976228,3,-28.722,-25.613,2.104,350.97,5.23,355.07
1678951976324,3,-28.552,-25.628,2.039,351.53,5.58,355.22
1678951976435,3,-28.513,-25.644,2.077,351.57,5.47,355.12
1678951976532,3,-28.535,-25.601,2.104,351.04,4.94,354.86
1678951976629,3,-29.052,-25.708,3.007,348.06,0.67,354.17
1678951976727,3,-29.734,-26.086,3.684,343.46,357.05,353.07
1678951976824,3,-30.087,-26.226,3.787,341.33,355.98,353.27
1678951976935,3,-30.296,-26.306,3.999,340.75,354.39,353.71
1678951977032,3,-30.132,-26.437,4.535,342.57,351.93,354.04
1678951977129,3,-29.647,-26.626,4.866,345.42,350.84,354.16
1678951977227,3,-29.205,-26.756,4.938,348.17,350.68,354.49
1678951977324,3,-28.038,-26.754,4.895,354.66,351.33,354.80
1678951977434,3,-26.432,-27.071,4.632,3.21,352.70,356.14
1678951977532,3,-26.434,-27.062,3.113,2.87,0.84,357.23
1678951977629,3,-26.987,-26.792,1.920,359.42,6.94,357.30
1678951977727,3,-27.432,-26.527,1.430,356.16,9.89,356.75
1678951977824,3,-27.665,-26.268,1.019,354.16,12.44,356.50
1678951977935,3,-27.706,-25.979,0.591,354.70,14.39,357.11
1678951978031,3,-27.750,-25.683,0.306,355.17,15.16,358.30
1678951978128,3,-27.393,-25.166,0.390,354.96,15.23,358.57
1678951978226,3,-23.056,-25.411,0.394,6.81,14.45,354.12
1678951978336,3,-16.217,-26.935,-0.181,24.99,15.50,349.98
1678951978434,3,-11.013,-28.668,-1.270,38.99,18.03,349.76
1678951978531,3,-7.614,-30.231,-2.454,48.60,21.34,351.75
1678951978629,3,-6.189,-30.793,-2.865,50.16,22.98,352.94
1678951978726,3,-7.261,-29.461,-2.666,39.86,22.39,351.31
1678951978824,3,-10.723,-27.363,-2.292,21.43,21.67,348.64
1678951978935,3,-16.320,-25.438,-1.847,0.77,19.92,348.44
1678951979031,3,-20.168,-25.027,-1.732,350.43,19.80,350.18
