timestamp,difficulty,ballIndex,status,pos_x,pos_y,pos_z
1678951975938,3,1,1,-101.669,130.351,172.231
1678951978157,3,2,1,198.604,86.920,-23.590
1678951983142,3,3,0,-181.250,115.869,84.549
1678951985423,3,4,0,181.362,33.178,84.309
1678951987729,3,5,0,199.343,-21.100,-16.203
1678951990034,3,6,0,-8.904,143.185,199.802
1678951992336,3,7,0,-159.166,-39.238,-121.105
1678951994644,3,8,0,172.224,21.687,101.681
1678951996952,3,9,0,161.508,-131.512,-117.962
1678951999255,3,10,0,182.772,-98.699,81.207
1678952001558,3,11,0,-149.693,-77.695,132.635
1678952003878,3,12,0,182.123,-92.038,82.651
1678952006172,4,13,0,164.626,-99.009,-113.571
1678952008489,4,14,0,129.874,-9.463,-152.095
1678952010182,4,15,0,-190.601,-20.458,-60.592
1678952012185,4,16,0,-88.826,-20.989,-179.193
1678952014182,4,17,0,184.591,-71.957,-76.982
1678952016196,4,18,0,-95.570,103.465,175.688
1678952018197,4,19,0,10.354,83.794,-199.732
1678952019795,4,21,1,-182.762,-84.929,81.229
1678952020213,4,20,0,-166.386,-62.852,110.976
1678952024225,4,22,0,-62.878,136.909,189.859
1678952026225,4,23,0,129.228,-101.843,152.644
1678952028225,4,24,0,-86.633,-134.450,180.263
1678952030224,4,25,0,-179.490,76.782,-88.223
1678952032225,4,26,0,-34.811,80.756,-196.947
1678952034251,4,27,0,172.208,129.561,-101.708
1678952036251,5,28,0,198.774,-4.845,22.112
1678952037945,5,29,0,199.232,31.707,-17.514
1678952038779,5,31,1,196.142,-123.034,-39.095
1678952039739,5,30,0,13.610,101.312,199.536
1678952043363,5,32,0,-190.573,55.728,-60.678
1678952045166,5,33,0,-20.473,-112.752,-198.949
1678952046972,5,34,0,-50.377,75.618,193.552
1678952048779,5,35,0,-120.493,82.756,-159.629
1678952050583,5,36,0,135.448,-20.877,-147.153
1678952052390,5,37,0,191.016,125.935,59.270
1678952054196,5,38,0,-56.129,36.764,-191.962
1678952055995,5,39,0,192.727,-11.997,53.445
1678952057805,5,40,0,-198.267,72.175,26.269
1678952059611,5,41,0,-122.290,42.138,-158.257
1678952061418,5,42,0,130.827,127.834,-151.276
1678952063234,5,43,0,152.335,-93.601,-129.592
1678952065039,6,44,0,-148.478,-26.955,133.994
1678952066846,6,45,0,195.862,15.597,40.471
1678952068208,6,46,0,74.675,-21.409,185.536
1678952069818,6,47,0,76.356,-63.910,-184.851
1678952071429,6,48,0,-145.632,147.630,-137.082
1678952072596,6,50,1,65.805,-80.036,188.864
1678952073041,6,49,0,91.125,-44.313,178.034
1678952076249,6,51,0,198.312,-87.770,25.931
1678952077873,6,52,0,-68.628,128.553,187.857
1678952079497,6,53,0,-195.549,30.682,-41.960
1678952081094,6,54,0,25.330,-70.458,198.390
1678952082693,6,55,0,-127.801,149.449,153.841
1678952084317,6,56,0,-103.653,73.293,-171.044
1678952085915,6,57,0,89.231,143.716,-178.991
1678952087513,6,58,0,-198.349,20.898,25.647
1678952089124,6,59,0,-146.667,-68.282,-135.973
1678952090734,6,60,0,126.852,-43.533,154.624
1678952092359,6,61,0,-195.771,107.445,40.912
1678952093955,6,62,0,64.345,-135.834,-189.367
1678952095592,7,63,0,-136.787,-57.318,-145.908
1678952097183,7,64,0,-179.111,-142.759,-88.990
1678952098385,7,65,0,197.876,-79.746,29.074
1678952099789,7,66,0,75.267,-12.940,185.297
1678952101191,7,67,0,-15.763,-40.716,199.378
1678952102594,7,68,0,174.850,3.696,-97.096
1678952104010,7,69,0,-127.299,-23.439,-154.256
