timestamp,level,state,pos_x,pos_y,left,right
1684402928330,1,0,1.238,-0.841,1.00,1.00
1684402928343,1,0,1.319,-0.885,1.00,1.00
1684402928355,1,0,1.281,-0.894,1.00,1.00
1684402928369,1,0,1.270,-0.902,1.00,1.00
1684402928383,1,0,1.256,-0.892,1.00,1.00
1684402928396,1,0,1.259,-0.889,1.00,1.00
1684402928411,1,0,1.254,-0.883,1.00,1.00
1684402928425,1,0,1.264,-0.884,1.00,1.00
1684402928438,1,0,1.275,-0.887,1.00,1.00
1684402928452,1,0,1.267,-0.887,1.00,1.00
1684402928466,1,0,1.282,-0.894,1.00,1.00
1684402928480,1,0,1.272,-0.883,1.00,1.00
1684402928495,1,0,1.262,-0.878,1.00,1.00
1684402928509,1,0,1.261,-0.877,1.00,1.00
1684402928523,1,0,1.270,-0.880,1.00,1.00
1684402928537,1,0,1.266,-0.882,1.00,1.00
1684402928550,1,0,1.274,-0.883,1.00,1.00
1684402928562,1,0,1.312,-0.854,1.00,1.00
1684402928577,1,0,1.222,-0.596,1.00,1.00
1684402928590,1,0,1.020,0.002,1.00,1.00
1684402928604,1,0,1.056,0.085,1.00,1.00
1684402928618,1,0,1.090,0.031,1.00,1.00
1684402928633,1,0,0.995,0.144,1.00,1.00
1684402928647,1,0,1.102,0.125,1.00,1.00
1684402928661,1,0,1.047,0.119,1.00,1.00
1684402928675,1,0,1.071,0.123,1.00,1.00
1684402928689,1,0,1.201,-0.009,1.00,1.00
1684402928703,1,0,1.200,-0.009,1.00,1.00
1684402928717,1,0,1.196,0.022,1.00,1.00
1684402928731,1,0,1.192,0.017,1.00,1.00
1684402928745,1,0,0.639,0.046,1.00,1.00
1684402928759,1,0,0.639,0.046,1.00,1.00
1684402928773,1,0,0.639,0.046,1.00,1.00
1684402928787,1,0,-0.896,0.011,1.00,1.00
1684402928801,1,0,-0.776,0.028,1.00,1.00
1684402928815,1,0,-0.786,-0.030,1.00,1.00
1684402928829,1,0,-0.863,0.082,1.00,1.00
1684402928843,1,0,-0.842,-0.009,1.00,1.00
1684402928857,1,0,-0.875,-0.058,1.00,1.00
1684402928870,1,0,-0.845,0.025,1.00,1.00
1684402928884,1,0,-0.847,-0.004,1.00,1.00
1684402928897,1,0,-0.931,0.030,1.00,1.00
1684402928911,1,0,-0.852,0.031,1.00,1.00
1684402928925,1,0,-0.861,0.043,1.00,1.00
1684402928939,1,0,-0.845,0.033,1.00,1.00
1684402928953,1,0,-0.847,-0.031,1.00,1.00
1684402928967,1,0,-1.486,0.076,1.00,1.00
1684402928981,1,0,-1.492,0.135,1.00,1.00
1684402928995,1,0,-1.393,0.133,1.00,1.00
1684402929009,1,0,-1.486,0.062,1.00,1.00
1684402929023,1,0,-1.503,0.089,1.00,1.00
1684402929037,1,0,-1.483,0.085,1.00,1.00
1684402929051,1,0,-1.485,0.080,1.00,1.00
1684402929065,1,0,-1.487,0.087,1.00,1.00
1684402929079,1,0,-1.485,0.076,1.00,1.00
1684402929093,1,0,-1.481,0.076,1.00,1.00
1684402929107,1,0,-1.483,0.079,1.00,1.00
1684402929121,1,0,-1.491,0.082,1.00,1.00
1684402929135,1,0,-1.494,0.083,1.00,1.00
1684402929149,1,0,-1.493,0.082,1.00,1.00
1684402929163,1,0,-1.492,0.083,1.00,1.00
1684402929177,1,0,-1.494,0.086,1.00,1.00
1684402929191,1,0,-1.493,0.090,1.00,1.00
1684402929205,1,0,-1.489,0.088,1.00,1.00
1684402929218,1,0,-1.488,0.086,1.00,1.00
1684402929233,1,0,-1.489,0.086,1.00,1.00
1684402929246,1,0,-1.490,0.085,1.00,1.00
1684402929261,1,0,-1.492,0.080,1.00,1.00
1684402929275,1,0,-1.491,0.087,1.00,1.00
1684402929288,1,0,-1.006,0.106,1.00,1.00
1684402929302,1,0,-0.642,0.110,1.00,1.00
1684402929316,1,0,-0.376,0.087,1.00,1.00
1684402929330,1,0,-0.375,0.088,1.00,1.00
1684402929344,1,0,-0.389,0.084,1.00,1.00
1684402929358,1,0,-0.389,0.085,1.00,1.00
1684402929372,1,0,-0.423,0.129,1.00,1.00
1684402929386,1,0,-0.415,0.089,1.00,1.00
1684402929399,1,0,-0.398,0.075,1.00,1.00
1684402929414,1,0,-0.399,0.076,1.00,1.00
1684402929427,1,0,-0.396,0.075,1.00,1.00
1684402929441,1,0,-0.392,0.076,1.00,1.00
1684402929455,1,0,-0.529,0.143,1.00,1.00
1684402929469,1,0,-0.504,0.134,1.00,1.00
1684402929483,1,0,-0.494,0.139,1.00,1.00
1684402929497,1,0,-0.494,0.144,1.00,1.00
1684402929511,1,0,-0.490,0.144,1.00,1.00
1684402929525,1,0,-0.485,0.139,1.00,1.00
1684402929539,1,0,-0.481,0.139,1.00,1.00
1684402929553,1,0,-0.479,0.139,1.00,1.00
1684402929567,1,0,-0.482,0.141,1.00,1.00
1684402929581,1,0,-0.484,0.146,1.00,1.00
1684402929595,1,0,-0.483,0.148,1.00,1.00
1684402929609,1,0,-0.460,0.154,1.00,1.00
1684402929622,1,0,-0.460,0.154,1.00,1.00
1684402929636,1,0,-0.485,0.143,1.00,1.00
1684402929650,1,0,-0.484,0.142,1.00,1.00
1684402929664,1,0,-0.484,0.143,1.00,1.00
1684402929678,1,0,0.011,0.063,1.00,1.00
1684402929692,1,0,0.012,0.063,1.00,1.00
1684402929706,1,0,0.750,0.150,1.00,1.00
1684402929720,1,0,0.818,0.156,1.00,1.00
1684402929734,1,0,0.786,0.157,1.00,1.00
1684402929748,1,0,0.836,0.126,1.00,1.00
1684402929762,1,0,0.822,0.131,1.00,1.00
1684402929776,1,0,0.860,0.161,1.00,1.00
1684402929789,1,0,0.824,0.159,1.00,1.00
1684402929803,1,0,0.824,0.144,1.00,1.00
1684402929817,1,0,1.025,0.090,1.00,1.00
1684402929831,1,0,0.981,0.085,1.00,1.00
1684402929845,1,0,1.004,0.084,1.00,1.00
