timestamp,headX,headY,headZ,handPosX,handPosY,handPosZ,handRotX,handRotY,handRotZ
1676789923110,-0.014,0.569,-0.442,0.205,0.211,-0.245,13.235,17.325,14.935
1676789923199,-0.014,0.569,-0.442,0.206,0.211,-0.245,13.404,17.280,14.577
1676789923245,-0.014,0.569,-0.442,0.205,0.211,-0.246,13.684,17.008,14.094
1676789923293,-0.013,0.569,-0.442,0.204,0.212,-0.246,13.650,16.948,13.822
1676789923325,-0.013,0.569,-0.442,0.205,0.211,-0.246,13.918,17.048,13.946
1676789923345,-0.013,0.569,-0.442,0.205,0.211,-0.246,13.958,17.007,13.850
1676789923362,-0.013,0.568,-0.442,0.205,0.211,-0.246,13.898,16.964,13.870
1676789923378,-0.013,0.568,-0.442,0.205,0.211,-0.246,13.833,16.989,13.899
1676789923393,-0.013,0.568,-0.442,0.205,0.212,-0.246,13.813,16.967,13.913
1676789923408,-0.013,0.568,-0.442,0.205,0.211,-0.246,13.756,16.932,13.930
1676789923422,-0.013,0.568,-0.442,0.205,0.212,-0.246,13.780,16.903,13.910
1676789923437,-0.013,0.568,-0.442,0.205,0.211,-0.245,13.765,16.917,13.851
1676789923451,-0.013,0.568,-0.442,0.205,0.211,-0.245,13.764,16.933,13.855
1676789923465,-0.013,0.568,-0.442,0.205,0.211,-0.245,13.792,17.010,13.857
1676789923480,-0.013,0.568,-0.442,0.205,0.211,-0.245,13.789,17.078,13.807
1676789923495,-0.013,0.568,-0.442,0.205,0.211,-0.245,13.797,17.057,13.780
1676789923509,-0.013,0.568,-0.442,0.205,0.211,-0.246,13.825,17.075,13.742
1676789923524,-0.013,0.568,-0.442,0.206,0.212,-0.246,13.777,17.074,13.710
1676789923537,-0.013,0.568,-0.442,0.206,0.212,-0.246,13.742,17.052,13.705
1676789923550,-0.013,0.568,-0.442,0.205,0.212,-0.246,13.650,17.007,13.694
1676789923564,-0.013,0.568,-0.442,0.205,0.212,-0.246,13.531,16.979,13.721
1676789923578,-0.013,0.568,-0.442,0.205,0.212,-0.246,13.357,16.939,13.792
1676789923593,-0.013,0.568,-0.442,0.205,0.212,-0.246,13.224,16.857,13.809
1676789923606,-0.013,0.568,-0.442,0.205,0.212,-0.246,13.061,16.741,13.757
1676789923620,-0.013,0.568,-0.442,0.205,0.213,-0.246,12.858,16.598,13.702
1676789923633,-0.014,0.568,-0.442,0.205,0.213,-0.245,12.359,16.206,13.483
1676789923647,-0.014,0.568,-0.442,0.204,0.214,-0.246,11.951,15.914,13.488
1676789923661,-0.014,0.568,-0.442,0.204,0.214,-0.246,11.491,15.689,13.593
1676789923676,-0.015,0.567,-0.442,0.204,0.214,-0.246,10.881,15.505,14.090
1676789923689,-0.015,0.567,-0.442,0.204,0.215,-0.246,10.173,15.198,14.508
1676789923704,-0.016,0.567,-0.442,0.204,0.215,-0.246,9.420,14.668,14.881
1676789923718,-0.016,0.567,-0.442,0.203,0.215,-0.246,8.578,13.959,15.415
1676789923731,-0.017,0.567,-0.442,0.203,0.216,-0.246,7.855,13.160,16.012
1676789923746,-0.018,0.567,-0.442,0.202,0.216,-0.247,7.535,12.315,16.479
1676789923760,-0.018,0.566,-0.442,0.201,0.217,-0.248,7.400,11.519,16.881
1676789923774,-0.019,0.566,-0.441,0.200,0.217,-0.248,7.190,10.851,17.320
1676789923787,-0.020,0.566,-0.441,0.198,0.218,-0.249,7.263,10.124,17.722
1676789923801,-0.021,0.566,-0.441,0.198,0.218,-0.250,7.263,9.411,18.077
1676789923815,-0.022,0.566,-0.441,0.197,0.218,-0.250,7.003,8.779,18.307
1676789923829,-0.022,0.565,-0.441,0.196,0.219,-0.250,6.451,8.150,18.432
1676789923843,-0.023,0.565,-0.441,0.195,0.219,-0.251,5.903,7.412,18.520
1676789923857,-0.024,0.565,-0.441,0.194,0.220,-0.251,5.506,6.643,18.648
1676789923871,-0.025,0.565,-0.441,0.193,0.220,-0.252,4.966,5.546,18.610
1676789923885,-0.026,0.564,-0.441,0.191,0.221,-0.252,4.551,4.326,18.481
1676789923898,-0.027,0.564,-0.441,0.190,0.223,-0.253,4.065,2.942,17.867
1676789923913,-0.028,0.564,-0.441,0.189,0.224,-0.255,3.346,0.769,15.407
1676789923927,-0.029,0.564,-0.441,0.188,0.226,-0.257,2.467,359.045,12.573
1676789923940,-0.029,0.564,-0.441,0.187,0.227,-0.258,1.665,358.358,11.422
