timestamp,level,x,y,z,pitch,yaw,roll
1695264485835,0,-0.17,0.00,-0.86,9.43,10.61,358.35
1695264485861,0,0.00,0.00,0.00,9.67,359.49,358.27
1695264485889,0,0.00,0.00,0.00,9.78,359.12,358.21
1695264485917,0,0.00,0.00,0.00,9.83,358.77,358.22
1695264485946,0,0.00,0.00,0.00,9.82,358.45,358.20
1695264485978,0,0.00,0.00,0.00,9.78,358.22,358.18
1695264486012,0,0.00,0.00,0.00,9.76,358.12,358.11
1695264486045,0,0.00,0.00,0.00,9.74,358.05,358.08
1695264486073,0,0.00,0.00,0.00,9.60,358.01,358.00
1695264486102,0,0.00,0.00,0.00,9.15,358.16,357.84
1695264486130,0,0.00,0.00,0.00,8.78,358.43,357.75
1695264486158,0,0.00,0.01,0.00,8.58,358.79,357.81
1695264486186,0,0.00,0.01,0.00,8.61,359.20,357.89
1695264486214,0,0.00,0.01,0.00,8.80,359.69,358.11
1695264486245,0,0.00,0.01,0.00,8.93,0.18,358.43
1695264486273,0,0.00,0.01,0.00,8.81,0.67,358.79
1695264486303,0,0.00,0.01,0.00,8.73,1.03,359.07
1695264486334,0,0.00,0.01,0.00,8.87,1.32,359.25
1695264486362,0,0.00,0.01,0.00,9.08,1.58,359.18
1695264486391,0,0.00,0.01,0.01,9.01,1.79,359.00
1695264486419,0,-0.01,0.01,0.01,8.72,2.01,358.80
1695264486447,0,-0.01,0.02,0.01,8.54,2.25,358.75
1695264486478,0,-0.01,0.02,0.01,8.59,2.49,358.72
1695264486506,0,-0.02,0.02,0.02,8.91,2.79,358.65
1695264486535,0,-0.02,0.02,0.02,9.30,3.00,358.73
1695264486563,0,-0.02,0.02,0.02,9.58,3.15,358.78
1695264486592,0,-0.03,0.02,0.02,9.64,3.29,358.75
1695264486620,0,-0.03,0.02,0.03,9.64,3.46,358.79
1695264486649,0,-0.04,0.02,0.03,9.57,3.66,359.02
1695264486678,0,-0.04,0.02,0.03,9.39,3.74,359.32
1695264486707,0,-0.04,0.03,0.04,9.26,3.66,359.65
1695264486736,0,-0.05,0.03,0.04,9.35,3.46,359.74
1695264486767,0,-0.05,0.03,0.05,9.41,3.20,359.69
1695264486796,0,-0.05,0.03,0.05,9.64,2.87,359.54
1695264486825,0,-0.05,0.03,0.05,10.03,2.59,359.35
1695264486856,0,-0.05,0.03,0.06,10.29,2.36,359.19
1695264486884,0,-0.06,0.03,0.06,10.37,2.24,359.11
1695264486913,0,-0.06,0.03,0.06,10.49,2.15,359.16
1695264486941,0,-0.06,0.03,0.06,10.56,2.09,359.14
1695264486969,0,-0.06,0.03,0.07,10.62,2.09,359.01
1695264487001,0,-0.06,0.03,0.07,10.73,2.17,359.02
1695264487029,0,-0.06,0.02,0.07,11.10,2.22,359.38
